[INFO] 15:30:26:965 EscrituraDeMarcos/(9709:9739): Se escribe sobre el MARCO: 0, la PAGINA: 0, del proceso :1
[INFO] 15:30:52:842 EscrituraDeMarcos/(9709:9739): Se escribe sobre el MARCO: 0, la PAGINA: 1, del proceso :1
[INFO] 15:36:05:477 EscrituraDeMarcos/(10211:10241): Se escribe sobre el MARCO: 0, la PAGINA: 0, del proceso :1
[INFO] 15:36:05:477 EscrituraDeMarcos/(10211:10241): Se escribe sobre el MARCO: 0, la PAGINA: 1, del proceso :1
[INFO] 15:44:02:513 EscrituraDeMarcos/(10800:10835): Se escribe sobre el MARCO: 0, la PAGINA: 0, del proceso :1
[INFO] 15:44:02:513 EscrituraDeMarcos/(10800:10835): Se escribe sobre el MARCO: 0, la PAGINA: 1, del proceso :1
[INFO] 15:48:26:132 EscrituraDeMarcos/(11175:11201): Se escribe sobre el MARCO: 0, la PAGINA: 0, del proceso :1
[INFO] 15:48:26:132 EscrituraDeMarcos/(11175:11201): Se escribe sobre el MARCO: 0, la PAGINA: 1, del proceso :1
[INFO] 15:49:24:291 EscrituraDeMarcos/(11565:11595): Se escribe sobre el MARCO: 0, la PAGINA: 0, del proceso :1
[INFO] 15:49:24:292 EscrituraDeMarcos/(11565:11595): Se escribe sobre el MARCO: 0, la PAGINA: 1, del proceso :1
[INFO] 15:52:34:816 EscrituraDeMarcos/(11911:11942): Se escribe sobre el MARCO: 0, la PAGINA: 0, del proceso :1
[INFO] 15:52:40:891 EscrituraDeMarcos/(11911:11942): Se escribe sobre el MARCO: 0, la PAGINA: 1, del proceso :1
[INFO] 15:56:00:188 EscrituraDeMarcos/(12196:12223): Se escribe sobre el MARCO: 0, la PAGINA: 0, del proceso :1
[INFO] 15:56:02:500 EscrituraDeMarcos/(12196:12223): Se escribe sobre el MARCO: 0, la PAGINA: 1, del proceso :1
[INFO] 15:58:01:338 EscrituraDeMarcos/(12446:12465): Se escribe sobre el MARCO: 0, la PAGINA: 0, del proceso :1
[INFO] 15:58:08:792 EscrituraDeMarcos/(12446:12465): Se escribe sobre el MARCO: 0, la PAGINA: 1, del proceso :1
