[INFO] 19:27:15:942 Log/(15769:15775): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 19:27:15:957 Log/(15769:15775): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 19:27:16:941 Log/(15769:15774): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 19:27:16:947 Log/(15769:15774): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 19:27:16:961 Log/(15769:15775): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 19:27:16:967 Log/(15769:15775): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 19:30:29:086 Log/(15813:15820): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:30:29:102 Log/(15813:15820): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 19:30:30:085 Log/(15813:15819): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 19:30:30:090 Log/(15813:15819): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 19:30:30:105 Log/(15813:15820): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 19:30:30:111 Log/(15813:15820): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 19:31:24:931 Log/(15898:15910): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:31:24:937 Log/(15898:15910): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 19:31:36:797 Log/(15978:15990): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:31:36:797 Log/(15978:15990): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 19:31:36:797 Log/(15978:15990): Pagina víctima: Pid: 3, Página: 0, Marco: 2
[INFO] 19:33:08:504 Log/(16014:16054): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:33:08:519 Log/(16014:16054): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 19:33:09:503 Log/(16014:16052): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:33:09:508 Log/(16014:16052): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 19:33:09:524 Log/(16014:16054): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 19:33:09:534 Log/(16014:16054): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 19:34:26:010 Log/(16094:16099): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:34:26:021 Log/(16094:16099): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 19:34:27:010 Log/(16094:16098): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:34:27:015 Log/(16094:16098): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 19:34:27:024 Log/(16094:16099): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:34:27:028 Log/(16094:16099): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 19:44:47:466 Log/(16366:16370): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:44:47:480 Log/(16366:16370): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 19:44:48:465 Log/(16366:16371): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:44:48:470 Log/(16366:16371): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 19:44:48:484 Log/(16366:16370): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:44:48:487 Log/(16366:16370): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 19:45:33:737 Log/(16385:16389): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:45:33:752 Log/(16385:16389): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 19:45:34:737 Log/(16385:16390): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:45:34:742 Log/(16385:16390): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 19:45:34:755 Log/(16385:16389): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:45:34:759 Log/(16385:16389): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 19:51:35:803 Log/(16473:16478): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:51:35:820 Log/(16473:16478): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 19:51:36:803 Log/(16473:16479): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:51:36:808 Log/(16473:16479): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 19:51:36:824 Log/(16473:16478): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:51:36:828 Log/(16473:16478): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 19:53:23:794 Log/(16536:16541): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 19:53:23:804 Log/(16536:16541): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 19:53:24:793 Log/(16536:16540): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 19:53:24:799 Log/(16536:16540): Pagina entrante: Pid: 2, Página: 0, Marco: 0
